"","Country","year","gdp","rank"
"304","Turkey","2016",721.167,18
"305","United Kingdom","2016",3054.84,5
"306","United States","2016",18697.92,1
"307","Australia","2017",1317.16,13
"308","Brazil","2017",1759.27,9
"309","Canada","2017",1682.37,10
"310","China","2017",13173.59,2
"311","France","2017",2586.57,7
"312","Germany","2017",3595.41,4
"313","India","2017",2607.41,6
"314","Indonesia","2017",950.438,16
"315","Italy","2017",1932.94,8
"316","Japan","2017",4342.16,3
"317","Korea","2017",1545.81,11
"318","Mexico","2017",1251.25,15
"319","Netherlands","2017",818.492,17
"320","Russia","2017",1309.27,14
"321","Spain","2017",1318.83,12
"322","Turkey","2017",761.44,18
"323","United Kingdom","2017",3232.28,5
"324","United States","2017",19555.87,1
"325","Australia","2018",1381.51,13
"326","Brazil","2018",1854.68,9
"327","Canada","2018",1773.8,10
"328","China","2018",14272.35,2
"329","France","2018",2690.48,7
"330","Germany","2018",3721.37,4
"331","India","2018",2846.16,6
"332","Indonesia","2018",1021.23,16
"333","Italy","2018",1997.84,8
"334","Japan","2018",4446.33,3
"335","Korea","2018",1649.08,11
"336","Mexico","2018",1322.92,15
"337","Netherlands","2018",855.637,17
"338","Russia","2018",1447.26,12
"339","Spain","2018",1372.18,14
"340","Turkey","2018",804.563,18
"341","United Kingdom","2018",3425.54,5
"342","United States","2018",20493.25,1
"343","Australia","2019",1442.47,13
"344","Brazil","2019",1953.67,9
"345","Canada","2019",1860.06,10
"346","China","2019",15620.71,2
"347","France","2019",2801.75,7
"348","Germany","2019",3846.7,4
"349","India","2019",3131.95,6
"350","Indonesia","2019",1103.29,16
"351","Italy","2019",2061.97,8
"352","Japan","2019",4590.91,3
"353","Korea","2019",1763.36,11
"354","Mexico","2019",1404.92,15
"355","Netherlands","2019",893.292,17
"356","Russia","2019",1613.84,12
"357","Spain","2019",1427.74,14
"358","Turkey","2019",851.773,18
"359","United Kingdom","2019",3616.82,5
"360","United States","2019",21404.19,1
"361","Australia","2020",1515.7,13
"362","Brazil","2020",2054.41,9
"363","Canada","2020",1958.15,10
"364","China","2020",17100.06,2
"365","France","2020",2940.19,7
"366","Germany","2020",4004.94,4
"367","India","2020",3443.6,6
"368","Indonesia","2020",1193.91,16
"369","Italy","2020",2143.8,8
"370","Japan","2020",4746.88,3
"371","Korea","2020",1898.76,11
"372","Mexico","2020",1495.66,15
"373","Netherlands","2020",940.749,17
"374","Russia","2020",1791.79,12
"375","Spain","2020",1497.67,14
"376","Turkey","2020",905.844,18
"377","United Kingdom","2020",3851.98,5
"378","United States","2020",22294.11,1
"379","Australia","2021",1610.56,13
"380","Brazil","2021",1645.84,12
"381","Canada","2021",2015.98,9
"382","China","2021",16862.98,2
"383","France","2021",2940.43,7
"384","Germany","2021",4230.17,4
"385","India","2021",2946.06,6
"386","Indonesia","2021",1150.25,16
"387","Italy","2021",2120.23,8
"388","Japan","2021",5103.11,3
"389","Korea","2021",1823.85,10
"390","Mexico","2021",1285.52,15
"391","Netherlands","2021",1007.56,17
"392","Russia","2021",1647.57,11
"393","Saudi Arabia","2021",842.588,18
"394","Spain","2021",1439.96,14
"395","United Kingdom","2021",3108.42,5
"396","United States","2021",22939.58,1
"397","Australia","2022",1677.45,13
"398","Brazil","2022",1810.61,11
"399","Canada","2022",2189.79,9
"400","China","2022",18463.13,2
"401","France","2022",3140.03,7
"402","Germany","2022",4557.35,4
"403","India","2022",3250.08,6
"404","Indonesia","2022",1247.35,16
"405","Italy","2022",2272.27,8
"406","Japan","2022",5383.68,3
"407","Korea","2022",1907.66,10
"408","Mexico","2022",1371.64,15
"409","Netherlands","2022",1070.75,17
"410","Russia","2022",1703.53,12
"411","Saudi Arabia","2022",876.148,18
"412","Spain","2022",1570.91,14
"413","United Kingdom","2022",3442.21,5
"414","United States","2022",24796.08,1
